Iteration,Vx Vel,Vy Vel,Vz Vel,Pressure,Temp,TKE,TED,Scalar
174,-0.723633,237.638,-11.8232,-222.479,41.9877,84873.1,1.38349e+08,0
175,-0.727447,238.073,-11.7997,-222.744,41.9623,85040.9,1.3849e+08,0
176,-0.731251,238.505,-11.7747,-223.012,41.9387,85203.3,1.38628e+08,0
177,-0.735084,238.936,-11.7481,-223.281,41.9166,85363.1,1.38769e+08,0
178,-0.739039,239.364,-11.7202,-223.557,41.8948,85519.3,1.38906e+08,0
179,-0.74309,239.79,-11.6909,-223.834,41.8731,85675.3,1.39044e+08,0
180,-0.747205,240.215,-11.6602,-224.11,41.8502,85827.8,1.39181e+08,0
181,-0.751396,240.637,-11.6281,-224.388,41.8281,85977.4,1.39315e+08,0
182,-0.755605,241.056,-11.5947,-224.666,41.8069,86125.3,1.39447e+08,0
183,-0.759933,241.474,-11.5599,-224.947,41.7858,86267.4,1.39576e+08,0
184,-0.764338,241.889,-11.5241,-225.232,41.7656,86414,1.39715e+08,0
185,-0.768856,242.301,-11.487,-225.513,41.7446,86554.5,1.39852e+08,0
186,-0.773412,242.711,-11.4488,-225.789,41.7243,86690.4,1.39983e+08,0
187,-0.778073,243.118,-11.41,-226.076,41.7043,86828.2,1.40113e+08,0
188,-0.782773,243.523,-11.3702,-226.364,41.7043,86958.5,1.40236e+08,0
189,-0.787527,243.924,-11.3295,-226.657,41.6668,87090.7,1.40352e+08,0
190,-0.792329,244.323,-11.2881,-226.949,41.6487,87216,1.40471e+08,0
191,-0.797198,244.719,-11.246,-227.241,41.6313,87346.9,1.40596e+08,0
192,-0.802081,245.113,-11.203,-227.533,41.613,87475.2,1.40725e+08,0
193,-0.807067,245.503,-11.1593,-227.826,41.593,87595.5,1.40851e+08,0
194,-0.812172,245.89,-11.1153,-228.123,41.5753,87713.1,1.40976e+08,0
195,-0.817245,246.275,-11.0708,-228.423,41.5567,87829.5,1.41098e+08,0
196,-0.822291,246.656,-11.0261,-228.728,41.5403,87948.5,1.41223e+08,0
197,-0.827394,247.034,-10.9809,-229.03,41.5239,88062.2,1.41343e+08,0
198,-0.832548,247.409,-10.9353,-229.333,41.507,88175.3,1.41463e+08,0
199,-0.83769,247.781,-10.8895,-229.635,41.4894,88284.3,1.41578e+08,0
200,-0.84292,248.15,-10.8434,-229.94,41.4718,88393.6,1.41693e+08,0
