Iteration,Vx Vel,Vy Vel,Vz Vel,Pressure,Temp,TKE,TED,Scalar
178,-0.314431,42.2741,0.837143,-5.92765,63.4731,2688.79,2.28739e+06,0
179,-0.309659,42.2681,0.838072,-6.00447,63.5265,2684.12,2.28649e+06,0
180,-0.304959,42.2617,0.83901,-6.07964,63.5792,2679.48,2.2856e+06,0
181,-0.300332,42.255,0.839965,-6.15309,63.6319,2674.97,2.28472e+06,0
182,-0.295776,42.2479,0.840927,-6.22494,63.6839,2670.57,2.28386e+06,0
183,-0.291294,42.2405,0.841903,-6.29516,63.735,2666.21,2.283e+06,0
184,-0.286885,42.2329,0.842887,-6.36385,63.786,2661.99,2.28216e+06,0
185,-0.282551,42.225,0.843883,-6.43094,63.836,2657.81,2.28133e+06,0
186,-0.27829,42.2168,0.844886,-6.49652,63.8858,2653.73,2.28052e+06,0
187,-0.274103,42.2083,0.845903,-6.56052,63.9349,2649.73,2.2797e+06,0
188,-0.269985,42.1997,0.846931,-6.62303,63.9832,2645.8,2.2789e+06,0
189,-0.265939,42.1908,0.847972,-6.68408,64.0311,2641.99,2.27812e+06,0
190,-0.261964,42.1817,0.849027,-6.74369,64.0785,2638.2,2.27735e+06,0
191,-0.258059,42.1724,0.850091,-6.80198,64.1255,2634.48,2.27659e+06,0
192,-0.254227,42.163,0.851169,-6.85883,64.172,2630.84,2.27584e+06,0
193,-0.250465,42.1533,0.852258,-6.9144,64.218,2627.28,2.27511e+06,0
194,-0.246775,42.1435,0.853359,-6.96859,64.2633,2623.75,2.27438e+06,0
195,-0.243152,42.1336,0.854469,-7.02155,64.3083,2620.34,2.27367e+06,0
196,-0.239598,42.1235,0.85559,-7.07327,64.3527,2616.97,2.27296e+06,0
197,-0.236112,42.1132,0.85673,-7.12376,64.3966,2613.65,2.27228e+06,0
198,-0.232692,42.1029,0.85788,-7.17311,64.44,2610.39,2.2716e+06,0
199,-0.229341,42.0924,0.859049,-7.22117,64.4827,2607.22,2.27093e+06,0
200,-0.226057,42.0818,0.860228,-7.26813,64.5247,2604.08,2.27028e+06,0
